media_id,comment_count,like_count,caption_text,accessibility_caption,taken_at,Translated caption_text
3350608950220382835,54,8144,✊🏻✊🏼✊🏾✊🏿,"Photo by Omar Kbiri on April 20, 2024. May be a graphic of poster and text that says 'IFYOUARE NEUTRAL IN SITUATIONS OF INJUSTICE μου HAVE CHOSEN THE SIDE THE OPPRESSOR. DESMOND TUTU'.",2024-04-20 13:08:54-0700,
3359599892253801478,79,985,"Shabbat Shalom, my beautiful beautiful people!!! Be strong and courageous. ....Am Israel!!! 💙✡️💙🇮🇱 what's your plans this Shabbat?

#shabbat 
#shabbatshalom","Photo by Ramon Dennis on May 02, 2024. May be an image of text that says 'y ග HABBA B 1 SHALOM KLOM'.",2024-05-02 22:52:18-0700,"Shabbat Shalom, my beautiful beautiful people!!! Be strong and courageous. ....Am Israel!!! 💙✡️💙🇮🇱 what's your plans this Shabbat?

#shabbat 
#shabbatshalom"
3344071835354993583,613,29494,"This week, my great-grandma, Lily Ebert, a 100-year-old Auschwitz survivor, became a great-great-grandma.

“I never expected to survive the Holocaust. Now I have five beautiful generations. The Nazis did not win!”

From near-death at Auschwitz to five generations of Jewish life.

#MazalTov #AmYisraelChai

Source: @dovforman","Photo shared by Humans of Judaism on April 11, 2024 tagging @dovforman. May be an image of 2 people, baby, turban and head covering.",2024-04-11 12:40:49-0700,"This week, my great-grandma, Lily Ebert, a 100-year-old Auschwitz survivor, became a great-great-grandma.

“I never expected to survive the Holocaust. Now I have five beautiful generations. The Nazis did not win!”

From near-death at Auschwitz to five generations of Jewish life.

#MazalTov #AmYisraelChai

Source: @dovforman"
3376123371383189951,485,7040,Thoughts on this💧,"Photo by Astronomy on May 25, 2024. May be an image of map, globe, poster, magazine, body of water and text that says 'All of Earth's water in a single sphere The World's Water'.",2024-05-25 18:01:30-0700,Thoughts on this💧
3360595334382665238,621,210397,"🎥 @agababadoner

Karadut Şerbetinin Yapılışını Nasıl Buldunuz ?Doğal ve ferahlatıcı bir karadut şerbetiyle yanında sıcacık et dürüm döner 😋

#karadutşerbeti #karadut #içecek #içecektarifi #drink #meyve #meyvesuyu #nasılyapılır #eniyirestaurant #ağababadöner #bestdrink #bestfood #meyveler#reklam",,2024-05-04 07:50:51-0700,"🎥 @agababadoner

How do you like the preparation of black mulberry sherbet? A natural and refreshing black mulberry sherbet accompanied by a warm meat wrap 😋

#black mulberry sherbet #black mulberry #beverage #drinkrecipe #drink #fruit #fruitjuice #howtomake #bestrestaurant #ağababadöner #bestdrink #bestfood #fruits #advertisement"
3347640576092935515,18,353,"🔶 Tutorial 🩷✨
🔸
#portrait #art #sketch #artist #painter #design #Rabbi #menachemmendelschneerson #jews #israel #chabad #jewishart #chabadart #judaism #hasidism #graphicarts #jewishart770 #любавическийребе #портрет #акварель #хабад #judaicaart #כיסוי ראש",,2024-04-16 10:54:22-0700,"🔶 Tutorial 🩷✨
🔸
#portrait #art #sketch #artist #painter #design #Rabbi #menachemmendelschneerson #jews #israel #chabad #jewishart #chabadart #judaism #hasidism #graphicarts #jewishart770 #Lubavitch Rebbe #portrait #watercolor #Chabad #judaicaart #כיסוי ראש"
3378174033574453329,22,3,"Please gatekeep your nail tech 🙏

-

Credit: account remixed with",,2024-05-28 13:56:30-0700,"Please gatekeep your nail tech 🙏

-

Credit: account remixed with"
3376677253621479531,0,57,"Thank you Omaha Rapid Respose for hosting a celebration of life picnic for those affected by the 4/26 tornado and the approx,” 14k volunteers who helped. It’s a miracle that no lives were lost that day. Thanks also to Heartland Hope and Hy-Vee.",,2024-05-26 12:22:37-0700,"Thank you Omaha Rapid Respose for hosting a celebration of life picnic for those affected by the 4/26 tornado and the approx,” 14k volunteers who helped. It’s a miracle that no lives were lost that day. Thanks also to Heartland Hope and Hy-Vee."
3377782513532997410,0,3,"just a cat on a dumpster. 
But he looks like a tiger in the jungle.",,2024-05-28 00:57:55-0700,"just a cat on a dumpster. 
But he looks like a tiger in the jungle."
3366938286973599962,361,410294,Go Deep into the Factory to See the production Secret of Pink Eyeshadow#beauty#factory#oem#indiemakeup#labelitcosmetics#eyeshadow#pipeline,,2024-05-13 01:59:23-0700,Go Deep into the Factory to See the production Secret of Pink Eyeshadow#beauty#factory#oem#indiemakeup#labelitcosmetics#eyeshadow#pipeline
