3293201451135172000,89,35362,Thank you @ahlan.my.darlings for the powerful illustration ❤️🖤🤍💚,"Photo shared by Flyers for Falastin on February 01, 2024 tagging @ahlan.my.darlings."
3371573573585784026,296,42988,"لقد فقد ساقه قبل أن يفقد حياته 🍉💔
He lost his leg before he his lost life
.
.
Art by @mohammed_alassar 🎨
.
.
.
.
.
#palestine #pleatine🇵🇸 #palestina #gaza savegaza #freegaza #freepalestine #savepalestine #غزة #فلسطين #فلسطين🇵🇸","Photo by Artist Mohammed Alassar 𓂆 🍉 in Gaza City with @everydaypalestine, @sana_aljamal82, @filasteeni, @souloffilasteen, and @flyers_for_falastin. May be an illustration of poster and text."
3372074159740963802,105,14553,"The emotions as hujjaj begin preparing for their Hajj 🕋🤍

#hajj #hajjsoon #hajj2024 #hajj1445

.
.
.
.
.
.
.
.
.
.

#dhulhijjah #dhulhijjah1445 #makkah #kabah #makkatulmukarramah #saudi #saudiarabia #hajji #yallahaji #hujjaj #nusuk #nusukk","Photo by Petals of Faith | Muslimah writer & illustrator on May 20, 2024. May be an illustration of ‎map, poster and ‎text that says '‎日 إلى_السجالحرام السي M TO HARAM May Allah invite us MayAllahinviteustoHis to His house houseagain again & again @PETALS_ @PETALS_OJ_FAITH /-FAITH‎'‎‎."
3177786685021404728,19,5185,Corniche Road,
3368500131419730882,3,89,"زوز.. واحد لحم وواحد مقاطعة!

#نعم_لمفاصعة_الدجاج_والبيض
#نعم_لمقاطعة_الدجاج_والبيض
#دروج",
3368628426137262363,519,36008,"NAKBA  IS NOT OVER 💔
#رمضان_أبوجزر #نكبة #gaza #palestine #gazaunderattack #قطر #فلسطين #غزة #حزن #صورة",
3360508249716677049,668,617421,@milliebobbybrown 💫she slays even with a cardboard box on her head #milliebobbybrown #paparazzi #paparazziphotos #fashion #outfitinspiration #fashionblogger #ａｅｓｔｈｅｔｉｃ #milliebobbybrownedit,
3313761797506926655,78,7735,"Let's start our day with this doa for our brothers and sister ❤️

#BBBest #BrainyBunch
#SuccessInBothWorlds",
3367756067905167691,154,51075,"Doa kami sentiasa untuk kamu saudaraku.
.
#prayforr4fahnow",
3371998556648859630,220,23247,It’s all about our culture. Our food our delicate and delicious cuisine Palastinian cuisine is the finest. (Bethlehem.) a story and a journey thru chef Fadi @fadi.f.kattan  quest for the best.  I had the pleasure of cooking with him.  He is a story teller and a magnificent attention to detail .. he will take you on a walk thru the town he loves,
3368123086341923600,0,338,"Out now in @sftpmag! 

Our reflections organizing with @cargilltenantsunion and how to practice science as agents of the class struggle. 

This article was a huge labor of love - shout out to authors @nickpoke, @sciencensnacks, and @kslininger, artists @kslininger, @lilyfillwalk, and @tamara.er, and all our comrades in @sftpnhv and @cargilltenantsunion 

🎨 Credits 🎨
Slide 1: @kslininger 
Slide 2: @kslininger 
Slide 3: @tamara.er with @matteofarinella remixes
Slide 4: @kslininger 
Slide 5: SftP logo and Scabby @kslininger, remixed red people @matteofarinella",
3370813240240239958,67,1472,"الحمدلله الذي رزقني روحاً من روحي ، ونبضاً من قلبي ، وأكرمني بأجمل العطايا .

{ ٱلۡمَالُ وَٱلۡبَنُونَ زِينَةُ ٱلۡحَيَوٰةِ ٱلدُّنۡيَاۖ وَٱلۡبَٰقِيَٰتُ ٱلصَّٰلِحَٰتُ خَيۡرٌ عِندَ رَبِّكَ ثَوَابٗا وَخَيۡرٌ أَمَلٗا }
وفي هذا الايام الصعبة التي نعيشها رُزقتُ بمولودتي البكر (سارة) ♥️
فأسال الله ان ينبتها نباتاً حسناً وان يبارك لي فيها وان يجعلها من البارين الصالحات🙏♥️ #غزة #فلسطين",
3351844401574332754,17,3,"●○●○●○●○●○●○●○●○●○●○●
[#BNHAOC]  Hellooooo, here I am bringing a new OC from another anime, BNHA!
I presend Shion Toukai, Gyoko's multiverse daughter😂❤️
I started watching BNHA a few weeks ago and I ended up hooked, so I offer my newest girlie and hopefully I'll bring more of her in the future💧

*Many references were used*

‼️DO NOT COPY/TRACE/STEAL‼️

•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
#myheroacademia #bokunoheroacademia #mha
#bnha #mhaocsheet #originalcharacter #ocxcanon #clipstudiopaint #quirk",
3354814349665873372,1519,102679,"“A hidden gem” by @guldsmed_fiebodenhoff 
Gold and diamond recycled from old heirlooms.

📸 @guldsmed_fiebodenhoff 

Would you accept this as an engagement ring? 💍",
3283803583609643924,51,18726,Thank you @votiondesign for the powerful poster ❤️🖤🤍💚,
3211240443198249362,66,17630,.,
3288937787246563248,12,5044,"Learn Quran Online...
For more Detail DM us...
#islam #allah #muslim #quran #islamicquotes #deen #islamic #makkah #dua #allahuakbar #islamicreminders #muslimah #islamicpost #sunnah #jannah #namaz #islamicreminder #madina #alhamdulillah #madinah #prophetmuhammad #quranquotes #ummah #islamicquote #muhammad #subhanallah #muslims #instaislam #loveislam #bismillah",
3350849643700311311,3,1477,"#sad you're not repping @sadboyzzclothing yet </3
⋆✩
⋆✩
⋆✩
⋆✩
⋆✩
Yk the 𝕕𝕣𝕚𝕝𝕝⋆｡°✩ stop into your local Zumiez and cop your @sadboyzzclothing *𝕀𝕟 𝕤𝕥𝕠𝕣𝕖 𝕒𝕟𝕕 𝕠𝕟𝕝𝕚𝕟𝕖* and join the #sadboyz club",
3270149704292742543,47,15762,"The genocide(s) hasn’t (haven’t) stopped. 

Nothing has changed.

.
.
.
.
.
.

#palestine #freepalestine #congo #genoci̇dei̇ngaza #sudan #yemen #islam #muslim #اسلام #مسلم #مكة #مدينة #اللة #alaqsa",
3270846431168142214,353,37621,"Follow @themuslimfamilyfoundation 
.
.
.
.
.
.
.

#explorer #reels #reelvideo #remix #reelitfeelit#islamicdiary#madinasharif #quranrecitation#quranverses#quranquotes#religousvideo#islamicpost#uk #london #marriage #unitedkingdom #muslimfamily #foundation #viralvideos#video #sabr#instagram#verses#instavibes#viralpost #subhanallah#islamic#explorepage#explore#post",
3237560233147600524,102,8706,"يارب  ونسألك  بحق ما قلت ﴿ أُدخلوها بسلامٍ آمنين ﴾
من تصاميمي الرقمية #فلسطين🇵🇸 #القدس #gazaunderattack #palestine  #free_palestine #مصر #الوطن_العربي #gaza #فيروز #محمد_الدرة #تصميمي #digitalart #art #watercolors #drawing #aiart #painting #fine_art #تصاميم #تصاميم_رقمية",
3296655796937033791,12,4455,All that she carried,
3320747849366466590,266,18451,"رسمتي🦋🦋 
راحت الحياة وراح جوزي 
رحتي يا سوسو ،، رحت يا ابو الورد يا قلبي يما 
مش خساره بربنا هيك ودعت عيلتها 
اللهم كن بعونها وعون اهلنا بغزه يااارب
الصوره الاصليه التي تم رسمها من حساب المصور مثبت باول تعليق 
#filistine #reels #bebe 
#اطفال_غزة  #أطفال_غزة_تحت_القصف 
#روح_الروح #عرسان_الحرب 
‏#myart #mydrawing #explorepage✨ #explore #اكسبلور_explore plore",
3233767771932387517,77,2844,"🤍 One word titles 🤍

Thank you so much for tagging me @therobinsbookshelf 💕

I've read half of these

QOTD: Do you spot any favorites?",
3371645219982036880,3,367,"day 370 !!
idk if I posted this already m I love this though he's so silly .

#milesedgeworthaceattorney #milesaceattorney #milesedgeworth #edgeworth #edgeworthaceattorney #aceattorneyedgeworth #aceattorneymilesedgeworth #aceattorney",
3370484242690844650,36,3722,"وَكأنهُ الحزن يبكي من شدة الحُزن ..
As if sorrow itself is weeping from the intensity of the grief.
.
Mahmoud Abu Hamda",
3367961160513583903,22,3,You don’t  have to give up everything you hold dear to join the global movement for change but you may have to open your mind to a different kind of world . It is possible . We made this one. We can remake it .,
3356829602293209129,10,452,Kommt zu unserem nächsten Treffen 🤗 lernt uns kennen 🤝 & macht mit 🔥 Gemeinsam für ein freies Palästina! ✌️🇵🇸,
3277211121520782012,55,16183,"Carrying out genocide and expecting the world to turn a blind eye is unrealistic. We, as a generation, are not passive observers; we challenge and question our leaders, especially when the truth is clear and undeniable. 
The attempt to twist the narrative and paint oppressors as victims is ineffective with us; we see through the manipulation.

We are awake. We are exposing these lies.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#freepalestine #palestine #islam #muslim #genoci̇dei̇ngaza #eyeonpalestine #اسلام #مسلم #مكة #مدينة #الله #congo #sudan",
3367948439348473567,8,445,"Don’t matter where you are in the world.. it’s still always Palestina Forever. 

Pic 1. Japan 2024 🇯🇵 
Pic 2. Unknown- taken from @muslimhomies 🇬🇧 
Vid 3. Shiraz, Iran October 2023 🇮🇷 
Vid 4. Shibuya Crossing. Tokyo 2023 🇯🇵 
Vid 5. Same as above- filmed from a different angle. 
Pic 6&7. London UK 🇬🇧
Pic 8 Jordan 🇯🇴 
Pic 9. Rainbow Street Jordan May 2024 🇯🇴 
#themwtg #palestine #palestine🇵🇸",
3345151205674598428,101,5563,"نامت أعين الخائنين المتخاذلين وقوتك يا الله لا تنام عن المظلومين 🤲🏻 . 
.
.
#instagood",
3367827959048326761,219,41916,"كود خصم نون (FMM24)

يسعدني إستخدامكم لكود خصمي من نون 👈🏻(FMM24)

Follow me ♥️

#لايك #كومنت #تصميم #نمط_حياة_صحية_بدون_حرمان #اكسبلور",
3221472309030806064,71,6705,"İsmini anmadan da 🍋

İstanbul Tasarım Merkezi’nde ""Şeyma Çınar ile Tezhip Atölyesi"" devam ediyor.

Görseldeki çalışma, eğitmenimiz Şeyma Çınar'a aittir.

#istanbuldesigncenter #istanbultasarimmerkezi #itm",
3371482078324587758,15,1827,"The tent: a few pieces of fabric that neither shield against the cold of winter nor the heat of summer. More than a million people live inside them in Gaza... in a world that prides itself on modernity, civilization, culture, and thought.

Don't you see the absurdity that the world is living in?
.
الخيمة : بضعة قطع قماشية لا تقي برد الشتاء ولا حر الصيف يعيش بداخلها أكثر من مليون انسان في غزة .. في عالم يتباهى بالحداثة والحضارة والثقافة والفكر ..
.
ألا ترى حجم السخافة التي يعيشها العالم ؟",
3371057248909373944,3,1046,"( Isa ) said, “Indeed, I am the servant of Allah. He has given me the Scripture and made me a prophet. (Q.S Maryam : 30)  #muslimillustrator #quranverses #quranquotes #dailyreminder #selfreminder #facelessillustration #womanillustration #muslimquotes #maryam #islamdaily",
3367344796425239157,0,151,"The Indigenous women-led initiative in Sumatra promotes safe forest conservation for Indigenous women, and its heritage is intertwined with the forest. 

Our harmony with all our relatives includes the forest, water, animals, humans, sun, moon, and soil. The vision of this community is an indigenized, inclusive world valuing Indigenous knowledge, ways of being, and guardianship in conservation and climate efforts. 

We are looking for people interested in a small-group photography and storytelling workshop designed for those interested in understanding and documenting the dynamics of global consumption and wildlife conservation within the context of social change. 

Captivating images made during our Storytelling School Indonesia 2023. 

Participants will gain firsthand experience in creating visually powerful, truthful, and impactful stories and narratives. 

Join us this september. 🍃 

All the information is in our profile link 

📸 @anncoolsphotography 

 #MoreThanPhotographers #PhotographersWithOutBorders 

 #IndigenousConservation #ForestHeritage #IndigenousKnowledge #WildlifeConservation #StorytellingWorkshop #GlobalConsumption #ClimateEfforts  #PhotographyWorkshop #VisualStorytelling #SocialChange #Photography #Photographers",
3362021747947260485,52,3,"حتجربوه؟

احفظ البوست لديك للفائدة
‎🔸تابعوني على @dietitian.nor  لمعلومات صحية و ايضا معلومات مهمة لخسارة الدهون و الحفاظ على الصحة و الوزن
‎🔹الاسئلة 👇🏻 بالتعليقات، و اذا كنتوا حابين تبدو بمشوار نزول الوزن راسلوني بالخاص 👏🏼

__________________________
#اخصائية_التغذية_نور_الشوا⠀
🔻للتواصل و الاستفسار:⠀
66045400
65895132
••••••••••••⠀
@dietitian.nor⠀
@dietitian.nor
#macros #nooralshawa#dietitiannor #diet_nor #السعودية #صحة #رشاقة #أخبار #كويت #ريجيم #صحي #سعرات #quotes #الاردن #قرارات #مقولات #دبي #اقتباسات #رياضة #likeforlikes #diet #نورالشوا #اخصائية_التغذية_نور_الشوا#likeforfollow #fitness",
3363885433111614522,10,629,We are not the same and I am sorry I voted for you @potus.,
3237561035987747239,20,1988,"يارب  ونسألك  بحق ما قلت ﴿ أُدخلوها بسلامٍ آمنين ﴾

من تصاميمي الرقمية #فلسطين🇵🇸 #القدس #gazaunderattack #palestine  #free_palestine #مصر #الوطن_العربي #gaza #فيروز #محمد_الدرة #تصميمي #digitalart #art #watercolors #drawing #aiart #painting #fine_art #تصاميم #تصاميم_رقمية",
3248423829868275530,133,14672,"#freepalestine
---
.
.
.

#jordan #ammanjordan🇯🇴 #shopping #onlineshopping #girl #girly #likeforlike #followforfollow #shop #onlineshop  #dress #summer #fallseason #ammanonlineshopping #likeforlikes #like4likes #likeforfollow #likeforlikes #liketime #likeforlikeback #follow4followback",
3364508797827166587,91,6167,أخطاء تربوية فادحة 💔🥺,
3256262483914645653,20,1658,"فوق الأرض و تحت ركامها  تزهر الفلسطينية عزاً وكرامة 🤍🇵🇸
من تصاميمي الرقمية #فلسطين🇵🇸 #القدس #gazaunderattack #palestine  #free_palestine #مصر #الوطن_العربي #gaza #فيروز #محمد_الدرة #تصميمي #digitalart #art #watercolors #drawing #aiart #painting #fine_art #تصاميم #تصاميم_رقميه",
3365523890941708951,61,66539,Let them know. “💪,
3371545321845193752,6,652,والعالم لا يسمع ولا يرى ولا يتكلم,
3369905530106742855,11,6311,"May you have a radiant Friday 🕯️🤍

Ameen

With salaam & duas, 
Petals of Faith 🌹

.
.
.
.
.
.
.
.
.
.
.

#blessedfriday #jumuahmubarak #jumuah #hadith #hadithreminder #quranjournaling #quranreflections #sunnah #surah #surahkahf #islamicquote #islamicreminders #floralarthub #islamicillustration #instatrend #explorepage #islamicdailyreminders #muslimah #hijab #modesty #muslimahart #muslimahartist #dhulhijjah #dhulhijjah2024 #noor #nur #islamicart #fridayreminder #islamicquotes",
3314157645047774290,49,29434,"Jummuah Mubarak
1 more Jummuah until Ramadan 🤍

.
.
.
.
.
.
.
.
.
.
.

#shaban #islam #muslim #اسلام #مسلم #كعبة #كعبه #مدينه #الله #فلسطين #Allah #muhammad #ahlusunnahwaljamaah #sunni #islamicquotes #islamicquote #islamicpage #islamicartwork #muslimah #ramadankareem #ramadanmubarak #ramadan #quran #quranquotes #islamicpage #muslimart #ramadankareem #jummahmubarak #jumma_mubarak #madinah #madina #jummah_mubarak",
3372216313419219258,3,153,"Waterstones says; 'Four Chicago sisters, bourgeois parents and a torrent of hormones and hairspray power a debut novel that marries it’s breezy tone to a more biting undercurrent of sibling rivalry and sensitively handled heartache.' 

The Most Fun We Ever Had 🏠",
3371972410277414524,6764,16430,"لا تنسو تدخلو ع حسابي تتفاعلو عليه فديتكم 
@shady_sopoh",
3346970856339567105,31,2195,"‏ ‬‏لو بقي شبرٌ واحد من هذه الأرض ، فنحن قادرون على اعادة بنائها ولو بعد حين . 🌹
.
.
#instalike #good",
3370235865665419224,856,33535,University of Ghent in Belgium divests and cuts ties with Israeli research centers after student mobilization,
3318954121725673208,98,5664,"just a reminder for you to please keep on sharing the truth with the world, follow my fellow 🍉 comrades too!

@filasteeni @filasteenii @this_is_kayros @this_is_also_kayros @trans4mingself @shireenfalasteenofficial @gulnarbaravia @my.eye.palestine @miasma777 @journey_to_jannahi @_nin_ah_ @palestinianvoicestoday @palipulse @stopwarcrimesingaza @heny.wardhani @humabeautyx @wakeupmyummah @sultanija_sultanova @raid4.ct @grassrootslaw @tech_malik92 @salamsudduf @rosyhama @work4palestine 🍉

please tag other accounts too in my comment if you know any, thank you!

take care everyone ♥️",
3377123125448765748,464,64671,#Rafah 💔💔💔,
3376671433441782430,13,3174,While,"Photo by Gaza Poets Society on May 26, 2024. May be an image of ‎text that says '‎I wake ρ in the morning while... I wake ρ my kids while... I shower while.. I eat I Riss my partner white.. Iputa brush my teeth while... I take the bus while... ,ot work while... 工 listen to radio while... while... GAZA I cook lunch while Igreet IS BEING colleagues while... Iread aborak while... BOMBED the supermarket while. Ilough atajoke while... Ido Icalla friend Vracuum Icheck IGwhile.. I ym while... how ااد this is possible while... onTV วา getting bombed while Ipurmy my atrm for tamorrow white... Ifallaske I while‎'‎."
3346830313751712321,1,2370,"Congo, Palestine, Sudan, Haiti, Papua. • Chicago, IL • April 2024",
3372327528879436353,5435,261055,"Attending the premiere of The Apprentice the Cannes film festival. In the breathtaking custom dress @cheneychanofficial Eyewear by @neubaueyewear and Jewels from @boucheron ✨🤍
Creative Consultant: @amarfaiz 
MUA: @hinaa.suleman ❤️
@ravasimatteo",
3376363129100218538,175,79573,"“Subhan-Allahi wa bihamdihi, Subhan-Allah-il-Azim” (Glory be to Allah and His is the praise, (and) Allah, the Greatest is free from imperfection)”
*
*
Follow @the_quran_verse for more reminders and inspiration
*
* 
Be in this world as it you are a traveller, a passer-by, with your clothes and shoes full of dust. Sometimes you sit under the shade of a tree, sometimes you walk in the desert. Be always a passer-by, for this is not home. — Hadith of the Prophet
*
*
🌼Laa hawla wa laa quwwata illaa billaah 🌼🌺subhanallahi wa bihamdihi subhanallahil
🌷La illaha illallah (There is no God but Allah)
 💥Subhanallah 💥
🌙Alhumdulilah🌙  ☀️Allahuakbar☀️
*
*
*
_____________________________________ 
 Like, Comment and Share

#islamic #islam #allah #muslim #islamicquotes #quran #muslimah #allahuakbar #deen #dua #makkah #islamicpost #islamicreminders #sunnah #ramadan #prophetmuhammad #hijab #love #alhamdulillah #muhammad #islamicreminder #muslims #jannah #instagram #islamicart #namaz #madinah #madina #pakistan #islamicquote",
